No.,Nama Instagram,Tweet,Sentimen,Sarkas,Sentimen_Sarkas
521,@dztaaaaa_,"""Yang ngatain keknya idupnya gapernag bikin kesalahan""",1,Sarkas,-1
522,@jenio_rh,"""Jadi gila kau rupanya karna gak laku lagi di YouTube""",-1,,-1
523,@mantap2560,"""Kasian yah sdh stress banyak masalah""",-1,,-1
524,@fjrnstyawan_,"""Kok jatohnya malah kek ajg sih rikkk""",-1,,-1
525,@wiliamsiant,"""Karir turun jadi autis kasian hahah""",-1,,-1
526,@o_em_ji,"""erick yang kek gini yang gua kangenin, keep it up bruuh""",1,Tidak,1
527,@arikinanta96,"""Udah mau autis iya bg awokawkk""",-1,,-1
528,@egioktvwn,"""Kasian masih muda udah stresss""",1,Sarkas,-1
529,@ardinn.__,"""Banyak komen yg support malah ketutup yg hate bgst emang IG""",-1,,-1
530,@aini.eni.142892,"""Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm""",1,Tidak,1
531,@imnotravi,"""Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.""",1,Tidak,1
532,@riskarmdhni,"""Aura org pinter emg shining ya bun @hy_dindut""",1,Tidak,1
533,@gracepala04,"""Paket lengkap deh.. udh cantik pintar lagi""",1,Tidak,1
534,@kasih_sliver87,"""Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett""",1,Tidak,1
535,@rir8558,"""Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy""",1,Tidak,1
536,@melonktheyalni,"""Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh""",1,Sarkas,-1
537,@story_quots_,"""Anjirlah muka lo kek kuntilanak malah sok cantik""",-1,,-1
538,@aqxa_nadya,"""Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama"" jadi jijik kenapa gak sekalian bisu aja""",1,Sarkas,-1
539,@lailmfdh,"""Uda pinter, cantik gak kebanyakan tingkah. Perfect""",1,Tidak,1
540,@rullyans_ighoney,"""Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada""",1,Tidak,1
541,@urbbnaya,"""Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda""",1,Tidak,1
542,@breath_ice2,"""Motivasi ku ka Maudy cantipp bngt""",1,Tidak,1
543,@dwisetyaakns24af,"""Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin""",1,Tidak,1
544,@ahmadnfsv,"""Damage nya cewek pinter gada lawann""",1,Tidak,1
545,@ru_kiiaah98,"""cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang""",1,Sarkas,-1
546,@pptsptyn,"""cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?""",1,Sarkas,-1
547,@drchristlesman,"""masih good vibes walaupun sedang lapar""",1,Sarkas,-1
548,@ekaacahyaaa,"""kakak cantik bgt bismillah cerdasnya nular""",1,Tidak,1
549,@riyan_w_p,"""Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu""",1,Tidak,1
550,@melly_goeslaw,"""Dua2 nya cantik banget masya Allah""",1,Tidak,1
551,@ykzlk_sk,"""ka nisa mirip ariana grande masa""",1,Tidak,1
552,@musaasep_,"""Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha""",1,Tidak,1
553,@iswindarty_cici,"""Sekilas yg abu mirip ariana grande haha""",1,Tidak,1
554,@wenddyfanny19,"""Yang satu nya mirip Ariana grande""",1,Tidak,1
555,@sla_metwidodo1111,"""Kakak sama adek sama sama cantik ya aku suka sama dua duanya""",1,Tidak,1
556,@nakhanadia12,"""Rambutnya kak modd bagussss… Item berkilauu""",1,Tidak,1
557,@itsme_lila25,"""Cantik semua congrats kak msuk nominsi tc candler""",1,Tidak,1
558,@chrysputami,"""Maudy enak bet dah cantik iya pinter iya""",1,Tidak,1
559,@kendaknyolah,"""kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :""""",1,Tidak,1
560,@oneuldo_orenji12,"""Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa""",1,Tidak,1
561,@weirdlifes_,"""Sutan kamu sangat lucu dan menggemaskan""",1,Tidak,1
562,@misnasari26,"""Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom""",1,Tidak,1
563,@cutmustikadela,"""Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya""",1,Tidak,1
564,@aldy_rhmd_,"""Muka lu kok cabul banget sih bg hahah""",-1,,-1
565,@donialviansaputraaa,"""Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak""",-1,,-1
566,@nurus_sobah_99,"""Kak jerome kayak boneka tau hahah""",1,Sarkas,-1
567,@gxjrx,"""Mukbang makanan sehat dong kak. Salad jepang gituuu.""",1,Tidak,1
568,@itsme_inr,"""Yakinin dulu niatnya bg… Semoga sukses""",1,Tidak,1
569,@nikenwidd_,"""Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang""",1,Tidak,1
570,@olla.azizah,"""Cuman rumus diet ini yg ga bisa dipecahka ya bang?""",1,Sarkas,-1
571,@can_kenzie_can,"""Perut makin maju tpi semangat jangan tak maju""",1,Tidak,1
572,@depi1310,"""Pantesan kak Jessica bilang bang jerom beruang wkwkwk""",1,Sarkas,-1
573,@lionessariexkunthi,"""Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika""",1,Tidak,1
574,@belumadajudullagi,"""Kaya tulus ya mukanya klo diliat2""",1,Tidak,1
575,@_silnora05,"""Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)""",1,Tidak,1
576,@wen_margareth,"""Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha""",1,Tidak,1
577,@ayomindan_15,"""Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap""",1,Tidak,1
578,@ini.ataaaa,"""Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk""",1,Tidak,1
579,@michael.saputra2006,"""iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul""",1,Tidak,1
580,@be_l.aa,"""Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur""",1,Tidak,1
581,@riskyapp,"""Kok makin dewasa makin imutt aih cipaaaaaa""",1,Tidak,1
582,@ryaamelliaa,"""maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa""",1,Tidak,1
583,@windasarimulyadi,"""Nih orang manis bnget sihh ga ngerti lagi""",1,Tidak,1
584,@isacgibran,"""Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak""",1,Tidak,1
585,@ichafiii,"""Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr""",1,Tidak,1
586,@erdizairaputri,"""Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.""",1,Tidak,1
587,@raffajiah,"""Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu""",1,Tidak,1
588,@rahmaaaaliaaaaa,"""Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab""",1,Tidak,1
589,@anisaanis62,"""Gemeshh rasanya kaya aku pengen cubit""",1,Tidak,1
590,@elizabethkezia4u,"""@angelkmgi ini paling cute sih, ganteng parah msh kecil jg""",1,Tidak,1
591,@frdaanii24_,"""Pengen gw pacul mulut lo!! woii anjeng busuk""",-1,,-1
592,@salsabilangin,"""Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu""",1,Tidak,1
593,@kylagluh,"""Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula""",1,Tidak,1
594,@patmisrisupatmi501,"""Dilihat sekilas pun tampak jelas kalau cantikkan syifa""",1,Tidak,1
595,@ike_wulandari01,"""Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn""",1,Tidak,1
596,@_biiibill,"""dahlahh emang cantik luar dalam kmu ini cippp""",1,Tidak,1
597,@masanggaofficial,"""Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.""",1,Tidak,1
598,@fettyfuriyanireal96,"""Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga""",1,Tidak,1
599,@itsme.imel__,"""Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati""",1,Tidak,1
600,@dhivirandini,"""Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..""",1,Tidak,1
601,@yuki_takesy,"""Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa""",1,Tidak,1
602,@hypelook.store,"""kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha""",1,Tidak,1
603,@mawarmelati6,"""Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..""",1,Tidak,1
604,@um_ummah7,"""Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory""",1,Tidak,1
605,@etikawatianiek,"""smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..""",1,Tidak,1
606,@kadospesialmu.id,"""Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya""",1,Tidak,1
607,@ciky_yy,"""Kasihan ya , Nagita punya suami kerjaannya berzinah terus""",-1,,-1
608,@pipin_sumarini,"""Koreaable banget face rafathar cakep ganteng manis banget""",1,Tidak,1
609,@sumiyati_yudi2,"""MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…""",1,Tidak,1
610,@ulfanadz,"""Kok mirip siwon ya lama2, apa perasaan gw aja.""",1,Tidak,1
611,@inaciac7,"""Lucunya berasa kayak kaka dan adek""",1,Tidak,1
612,@medianatambunan,"""Itu wajah nagita kya masih umur 20an""",1,Tidak,1
613,@anita_sari1892,"""Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu""",1,Tidak,1
614,@riostryn,"""Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.""",1,Tidak,1
615,@mraldiani,"""Nagita masa kaya anak muda coba cantikk bangeett""",1,Tidak,1
616,@aprillia_raffa,"""Masyaallah mamany cantik anakny ganteng, perfect""",1,Tidak,1
617,@azizah_rahman10,"""Kaya adek kakak.. kak gigi keliatan muda banget""",1,Tidak,1
618,@andra_jnsyah_14,"""Tambah gede aja rafathar ya tambah pinter ya Rafathar""",1,Tidak,1
619,@dewitatarias,"""Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda""",1,Tidak,1
620,@ikakadamayanti,"""OOTD mama gigi simple tapi elegan dilihat nya, masyaallah""",1,Tidak,1
621,@rainbowkidshop_,"""Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga""",1,Tidak,1
622,@amaliapuspitasari20,"""mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.""",1,Tidak,1
623,@nurainiikazulianaa,"""Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep""",1,Tidak,1
624,@limcu_n,"""i see beauty in everything mba gigi sehat selalu sama dede bayi nya""",1,Tidak,1
625,@ens_gege,"""Mama gigi cantik banget… look younger than her age.. love mama gigi""",1,Tidak,1
626,@deni_riski,"""Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas""",1,Tidak,1
627,@desysr,"""Pakaian apapun yg dipake mama gigi selalu keceee""",1,Tidak,1
628,@balizoo,"""Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga""",1,Tidak,1
629,@titiwinarni91,"""Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..""",1,Tidak,1
630,@ratna_wahyuningrum28,"""Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..""",1,Tidak,1
631,@dedehfp,"""Mama gigi gapernah ga cantik sih kalo menurut aku.""",1,Tidak,1
632,@muhammadmarselnur,"""Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.""",1,Tidak,1
633,@novaaa_nmc,"""Cantik banget semoga sehat selalu kakak panutan""",1,Tidak,1
634,@silvahumairasadeli,"""MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa""",1,Tidak,1
635,@dwiwarochmah,"""Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya""",1,Tidak,1
636,@malikah_06,"""makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya""",1,Tidak,1
637,@dwihadianti,"""Gapaham lagi cakeup nya natural Masyaallah""",1,Tidak,1
638,@kroniktron,"""Raisa mah tipe cantik tapi sopan santun pakaiannya""",1,Tidak,1
639,@rifdaahdr,"""ka yayaaa, why are you always stunning pretty girl.""",1,Tidak,1
640,@donnnaaaa____,"""Ya Allah ni orang apa peri, cantik amatt""",1,Tidak,1
641,@novidianprismaw,"""Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik""",1,Tidak,1
642,@audreyjizlia,"""BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH""",1,Tidak,1
643,@aqidahhasrida,"""Cantik bajunya keren warnanya bikin pangling""",1,Tidak,1
644,@tracytrinita,"""Sudah dongggg dan sudah di liked juga.. congratulations""",1,Tidak,1
645,@hestipurwadinata,"""Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk""",1,Tidak,1
646,@rzl_40,"""Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….""",1,Tidak,1
647,@anazd_k,"""udah dong. Lagi ngunyah aja cute banget""",1,Tidak,1
648,@xmxexgxaxr,"""Penyihir secantik ini gue rela dikutuk jadi tokek laut""",1,Tidak,1
649,@biannasution,"""Ya ampun kak makan apa sih kok bisa cantik banget""",1,Tidak,1
650,@dhinie_jm,"""Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha""",1,Tidak,1
